Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1,01-02-2020 00:00,01-01-2020 00:00,01-01-2020 01:11,Ahmedabad,576,Identity Theft,16,M,Blunt Object,Violent Crime,13,No,
2,01-01-2020 19:00,01-01-2020 01:00,01-01-2020 06:26,Chennai,128,Homicide,37,M,Poison,Other Crime,9,No,
3,01-02-2020 05:00,01-01-2020 02:00,01-01-2020 14:30,Ludhiana,271,Kidnapping,48,F,Blunt Object,Other Crime,15,No,
4,01-01-2020 05:00,01-01-2020 03:00,01-01-2020 14:46,Pune,170,Burglary,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00
5,01-01-2020 21:00,01-01-2020 04:00,01-01-2020 16:51,Pune,421,Vandalism,30,F,Other,Other Crime,18,Yes,01-08-2020 21:00
6,01-02-2020 03:00,01-01-2020 05:00,01-01-2020 17:09,Delhi,442,Assault,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00
7,01-01-2020 16:00,01-01-2020 06:00,01-01-2020 14:08,Chennai,172,Vehicle - Stolen,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00
8,01-02-2020 10:00,01-01-2020 07:00,02-01-2020 06:33,Chennai,169,Counterfeiting,78,X,Knife,Other Crime,8,No,
9,01-04-2020 03:00,01-01-2020 08:00,02-01-2020 06:34,Mumbai,338,Extortion,41,X,Blunt Object,Other Crime,1,No,
10,01-03-2020 07:00,01-01-2020 09:00,01-01-2020 17:50,Chennai,497,Public Intoxication,29,M,Knife,Other Crime,4,No,
11,01-02-2020 13:00,01-01-2020 10:00,01-01-2020 19:42,Delhi,260,Fraud,71,M,Explosives,Other Crime,5,Yes,02-01-2020 13:00
12,01-03-2020 09:00,01-01-2020 11:00,01-01-2020 22:16,Surat,563,Identity Theft,26,M,Poison,Violent Crime,3,No,
13,01-01-2020 16:00,01-01-2020 12:00,01-01-2020 23:14,Visakhapatnam,498,Fraud,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00
14,01-02-2020 22:00,01-01-2020 13:00,01-01-2020 17:46,Mumbai,436,Assault,32,X,None,Violent Crime,18,No,
15,01-02-2020 00:00,01-01-2020 14:00,01-01-2020 22:28,Bangalore,266,Sexual Assault,77,F,None,Violent Crime,19,No,
16,01-02-2020 07:00,01-01-2020 15:00,01-01-2020 18:54,Kolkata,357,Counterfeiting,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00
17,01-03-2020 07:00,01-01-2020 16:00,02-01-2020 02:57,Ghaziabad,509,Drug Offense,61,M,Poison,Other Crime,6,No,
18,01-04-2020 02:00,01-01-2020 17:00,01-01-2020 23:09,Pune,342,Arson,64,F,Other,Fire Accident,2,No,
19,01-02-2020 20:00,01-01-2020 18:00,02-01-2020 10:42,Bangalore,480,Cybercrime,11,M,None,Other Crime,3,Yes,24-01-2020 20:00
